url,compressed_size,decompressed_size,time
inbox.com,18017,55395,0.36579132080078125
doubleclick.com,3077,12353,0.12137174606323242
jobrapido.com,7348,28749,0.22071361541748047
pcpop.com,39440,163286,0.7484722137451172
webs.com,6241,20334,0.217742919921875
telegraph.co.uk,36652,198402,0.7567334175109863
quikr.com,17666,78246,0.3864002227783203
homedepot.com,35824,267354,0.8706307411193848
marca.com,77222,376318,1.5510773658752441
github.com,3855,11302,0.13228893280029297
ebay.com.au,21689,111855,0.5162572860717773
bestbuy.com,21037,100383,0.46466588973999023
google.co.hu,28876,102524,0.5595088005065918
nifty.com,31094,151696,0.6229424476623535
dianping.com,16365,144867,0.44772863388061523
isohunt.com,13932,34375,0.28539180755615234
spiegel.de,35418,201723,0.7589244842529297
wordreference.com,6938,24611,0.1472783088684082
salesforce.com,15813,77145,0.4515862464904785
naukri.com,21446,112884,0.5280160903930664
shaadi.com,26654,143377,0.5852699279785156
bleacherreport.com,19618,76417,0.4131913185119629
icbc.com.cn,1086,6793,0.05610942840576172
domaintools.com,9199,34575,0.29425621032714844
taringa.net,18525,87388,0.41576147079467773
ig.com.br,39894,220901,0.8875536918640137
126.com,16090,62151,0.39329051971435547
pcauto.com.cn,91375,400178,1.7293071746826172
google.cz,33092,115797,0.6058502197265625
usps.com,12632,75448,0.34738779067993164
varzesh3.com,22579,89550,0.5859899520874023
ndtv.com,20474,97160,0.4847145080566406
google.ie,28439,101950,0.5664944648742676
washingtonpost.com,58359,187357,1.1944293975830078
hostgator.com,5014,17222,0.08641481399536133
hdfcbank.com,11485,62535,0.3826618194580078
pclady.com.cn,62371,254485,1.1158013343811035
wix.com,7773,45501,0.2297830581665039
clixsense.com,7298,27084,0.23602008819580078
att.com,27521,127460,0.7351088523864746
mlb.com,39594,172619,0.7706952095031738
usatoday.com,19879,119302,0.47549962997436523
reuters.com,20752,94684,0.4855489730834961
adultfriendfinder.com,31640,180784,0.6286025047302246
eastmoney.com,47850,186459,0.8507943153381348
webmd.com,22447,105056,0.5644845962524414
aizhan.com,4241,12691,0.14724493026733398
xyxy.net,18309,84810,0.44579029083251953
imesh.com,10795,38291,0.3360772132873535
2ch.net,1890,4353,0.07388591766357422
terra.com.br,51745,173370,1.0778403282165527
fedex.com,9258,56504,0.2583479881286621
ero-advertising.com,3888,14026,0.14480113983154297
google.ae,20504,65279,0.41274309158325195
mop.com,50338,216543,0.94146728515625
kijiji.ca,9962,36879,0.2192521095275879
groupon.com,5504,27123,0.18308162689208984
twitch.tv,13597,55989,0.3023815155029297
hypergames.net,475,730,0.019469261169433594
